year,area
1987,87567
1988,102587
1989,91302
1990,88165
1991,100858
1992,75401
1993,69982
1994,73613
1995,118985
1996,114005
1997,74945
1998,59665
1999,58194
2000,54558
2001,38144
2002,38050
2003,46408
2004,41289
2005,39029
2006,22645
2007,35281
2008,21317
2009,53774
2010,67960
2011,30921
2012,23946
2013,26238
2014,23416
2015,24063
2016,16755
2017,34625
2018,23020
2019,24049
2020,20327
